,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
64,,MT-CO1,,,LGR4,,EEA1,,NR6A1,,,LGALS3BP,MEMO1,RAB10,SREK1,,DLGAP4,,,NDUFA3,CHCHD10,DDX6,,CIPC,,MAX,,,,COA7,KPNA4,XYLT2,,ZFAND5,CYTH1,,RELL1,,KDM6B,TSC22D1,,,,FAM3D,,BAK1,TLN1,,,AGO2,PHF6,CREBRF,FXR1,SRSF1,,,,,TMEM234,,,UBN2,,,TPCN1,,RNF111,PSMC6,GTPBP2,,,,,,CAMKMT,,,RHOB,GMDS,,
65,,ZC2HC1B,,,SRSF10,,MAP2K3,,PRPF40A,,,ASAP2,SLC12A2,NEMF,SLMAP,,ZSWIM3,,,CIC,HK1,RHOA,,DYNC1H1,,FOXN3,,,,TCEA3,MLLT3,GPATCH8,,ATRNL1,KLHL28,,G3BP2,,MMP28,LMO7,,,,GNPNAT1,,TUBB,ZDHHC18,,,MYH9,NUCKS1,SAFB,MEF2D,SEL1L,,,,,PDIK1L,,,MAT2A,,,LRWD1,,IBTK,TSC22D1,PLCL2,,,,,,ERCC3,,,ATP6V1D,NGLY1,,
66,,,,,GBA2,,SPECC1,,BLCAP,,,CDHR2,TCF4,JARID2,TEF,,MADD,,,AQP8,HINT1,TRAPPC4,,GREB1,,HMGCR,,,,RERE,TNFRSF1B,PLEKHM1,,NEAT1,ATP6V1D,,PON2,,TOM1L1,PHF11,,,,MGAT3,,COX7A2L,CCNG2,,,LIMA1,RASSF3,TTC7A,GATAD2B,HNRNPK,,,,,EREG,,,FCGBP,,,MET,,RPS6KA3,ELF1,BAK1,,,,,,SLC12A2,,,ARRDC3,GNPNAT1,,
67,,,,,AKAP9,,VEZF1,,GMEB2,,,SLC22A23,EPC1,NSD1,TUBA1C,,TRPM7,,,CCND1,TRAPPC1,STRADB,,HIST1H2BK,,ERBB2IP,,,,RNF38,RPLP0,HN1,,TM9SF3,GMDS,,CNOT4,,ABCC3,ALG10B,,,,TBC1D22A,,LRPPRC,TTYH3,,,HMOX2,SMARCD1,CD2AP,NOTCH2,GPRIN2,,,,,CLDN4,,,RPL18,,,LRIG1,,DAPK3,LY6E,SPDEF,,,,,,CDC23,,,CTSL,COG3,,
68,,,,,EXOC4,,TNS3,,CA2,,,RNF19A,DSC2,PLK2,TRIO,,TPM3,,,COL4A1,TP53,ZC3H11A,,HIST1H2BJ,,DAD1,,,,IKBKAP,HSPH1,DNMT3A,,"Ckmt1    CKMT1B
Ckmt1    CKMT1A
Name: human_GeneSymbol, dtype: object",FAM120A,,ADIPOR2,,PNPO,MARCH6,,,,SLC38A2,,RNF138,GNG12,,,ZBTB20,USP25,VEGFA,CSDE1,CDIP1,,,,,TES,,,COA4,,,CIC,,OR2V1,SELO,RPS18,,,,,,PATL1,,,PTK2B,PHF20L1,,
69,,,,,KRAS,,PFN1,,CTSS,,,DCBLD2,CDC23,PFKP,FAM84B,,VAV3,,,CC2D1A,CLUH,NUS1,,RREB1,,TOMM22,,,,MACF1,CCSER1,LDAH,,FBN1,TNPO1,,TNRC6A,,GGA3,AGO2,,,,B3GALT5,,CEP192,VAMP8,,,CAMK2N2,RPL7L1,SLC12A2,USP33,KALRN,,,,,CTCF,,,MKRN3,,,COL4A2,,,USP25,VEGFA,,,,,,DPP3,,,SRRM2,BRD2,,
70,,,,,MESDC2,,ITGA3,,MCL1,,,PARP14,PGGT1B,NUP153,EIF4G1,,ATPAF1,,,CIAPIN1,GOSR2,MYBBP1A,,METTL7A,,BIK,,,,SNHG3,KRAS,AGR2,,PLAGL2,PIK3R1,,NIPA2,,LGALS3BP,PTK2,,,,ZNF597,,DIAPH1,MXD1,,,PHLDB2,ZDHHC21,SMAD7,FNDC3B,CSNK1A1,,,,,MTUS1,,,P2RY6,,,TMEM192,,,IGSF5,AMMECR1L,,,,,,MYOF,,,CDKN1A,TXNL1,,
71,,,,,TJP1,,PUM2,,OTUD7B,,,SVIL,CEP120,FBP2,IFNAR1,,KLF4,,,BCAR1,MMP14,CLTC,,VDR,,ZNF706,,,,RER1,MUC2,FUT8,,CA2,ITGA2,,ABHD17C,,ROCK2,BRD1,,,,ANKS3,,NDST1,COA4,,,PKD1,ZNF12,TSHZ1,VANGL1,MALAT1,,,,,AAGAB,,,TBC1D10B,,,TAF5L,,,DSG2,KIF20A,,,,,,FRMD4A,,,DUSP1,TRIM8,,
72,,,,,FBXO22,,PNPLA8,,PDE7A,,,VLDLR,ATL3,SDHA,ATP6V1A,,UQCRH,,,,NDST1,FAM84A,,ADCY6,,TFRC,,,,PTPN12,PLEKHA7,RHOB,,GON4L,NDFIP2,,CCND1,,CCDC71L,SLC38A2,,,,KALRN,,PPP1CA,RRM1,,,TRIP10,CXCL10,NEAT1,AHCYL1,PLCH1,,,,,NEDD4,,,RAB11FIP1,,,MT-RNR2,,,SLC12A2,FAM53C,,,,,,SET,,,DHRS9,PIP5K1B,,
73,,,,,,,PAIP1,,MECOM,,,AKR7A2,ZFP91,JMY,TTC7A,,AGO1,,,,ENTPD6,CLMN,,ARF3,,ATP5J,,,,PROM1,ALAS1,GREB1,,DRAM2,AGO2,,SLC20A2,,AGR2,TUBA1B,,,,TMPRSS2,,CASP7,MUC2,,,CAPN15,EXOC4,ARL2,TET2,HTT,,,,,APLP2,,,ASAH1,,,SLC35A2,,,SLK,TNFAIP8,,,,,,ABTB2,,,BLCAP,CERS6,,
74,,,,,,,XRCC4,,ELF2,,,FBXL5,GCNT1,PIK3R1,RNF125,,GJB3,,,,HNF4A,SLC22A23,,SMAGP,,CDKN1A,,,,FRYL,GCN1L1,HECTD1,,BCAR3,GALNT6,,TNKS,,DOCK4,MAPK1,,,,SLC37A1,,PIP5K1B,CAPNS1,,,MYDGF,CDKN1B,TLE4,RABGGTB,EP400,,,,,SLC6A8,,,SLC38A7,,,SLC40A1,,,MALAT1,KIF5B,,,,,,USP8,,,ARHGEF26,GPCPD1,,
75,,,,,,,ANXA11,,CHD7,,,NCAPD2,FRMD4A,ZMIZ1,HARS,,MLXIP,,,,DUOX2,REEP4,,MORC3,,YIPF5,,,,C1GALT1,,DICER1,,RAPGEF2,PAK2,,ZDHHC7,,FUT8,USP25,,,,HLA-A,,DNMBP,CAPN5,,,SVIL,FAM63B,TM9SF3,PNISR,PHLDA2,,,,,,,,UBL7,,,MFSD4,,,SHTN1,RPRD1A,,,,,,TMEM87B,,,EPHA2,ADNP,,
76,,,,,,,KIF13B,,CDH17,,,CCND1,USP8,RNF139,NEAT1,,NUP205,,,,TPCN1,KLF5,,B3GALT5,,HNRNPUL2,,,,KBTBD2,,CDHR2,,MFSD2A,UMPS,,SMARCA4,,GPHN,GABPA,,,,GALNT1,,SHTN1,EIF3C,,,TMEM241,MT-TM,CACUL1,ZNF462,MAPK6,,,,,,,,NEDD4,,,PTPRK,,,TUBB4B,NREP,,,,,,FNBP1,,,KLF3,FAM102B,,
77,,,,,,,COG3,,ZCCHC7,,,SEMA7A,FNBP1,SQLE,TOR1B,,TNPO3,,,,ING4,DOCK5,,ABCG1,,CD274,,,,TET3,,PAIP1,,MACF1,MAPK14,,RNF111,,CIPC,B3GALT5,,,,RNMT,,IVD,MT4,,,FEM1C,,GSN,CCNL2,NKRF,,,,,,,,WDR82,,,ANK3,,,GALNT3,TAF7,,,,,,GPCPD1,,,LRCH4,TDRD7,,
78,,,,,,,METTL7A,,NFIA,,,TRAPPC4,INO80,TSTA3,PDIA3,,ATP6V1E1,,,,RPL4,FZD6,,TRIM31,,TNKS2,,,,IQSEC1,,WDR37,,CCDC28B,KCTD20,,ZBTB38,,NIN,PDXDC1,,,,HNRNPUL2,,BCL2L11,MT3,,,CEP120,,SPRED1,KLF4,,,,,,,,,DPY19L1,,,EEA1,,,ATF2,NDST1,,,,,,ZNF217,,,TAX1BP1,TCEA3,,
79,,,,,,,ARFGAP3,,PIK3R3,,,,GPCPD1,EPPK1,STXBP1,,MYADM,,,,ST14,MORC3,,PDPK1,,SLK,,,,WNK1,,GPR137B,,SERINC2,TRIM31,,ARMC8,,ZFYVE26,LTN1,,,,DUSP5,,PYGB,DUSP7,,,ZNF407,,TMEM87B,FKBP15,,,,,,,,,GNAI2,,,TSPAN8,,,S100A14,ABHD17B,,,,,,HNF4G,,,CEACAM20,AGO1,,
80,,,,,,,ADCY6,,PTP4A2,,,,ZNF217,ST13,MMADHC,,TMC4,,,,HUWE1,DYRK1A,,CYP4F12,,MALAT1,,,,AP2S1,,LRRC16A,,SESN2,FOXN2,,NBEAL2,,ELMSAN1,SCAF4,,,,MALAT1,,NR6A1,TPM1,,,ATL3,,DNAJC5,FOSL2,,,,,,,,,MT-ND5,,,RNF41,,,SEC22B,PTEN,,,,,,SPG20,,,PVRL2,DDI2,,
81,,,,,,,CBLB,,PLEKHF2,,,,SKIL,PLA2G10,ALKBH3,,TBC1D10B,,,,ACSL4,FEM1C,,RAB11B,,STIP1,,,,STRN4,,ATXN1,,RNF4,PSMB1,,SLC6A8,,ITPK1,PKD1,,,,NEAT1,,DGKZ,EEF1A1,,,C9orf40,,EHMT1,RNF4,,,,,,,,,RPS6KA3,,,APAF1,,,PAPPA,DPP3,,,,,,PBXIP1,,,EMC10,FRYL,,
82,,,,,,,SLC25A1,,FUT9,,,,GON4L,ADAMTS1,EHF,,NR3C2,,,,,ENTPD7,,MYDGF,,ZFP91,,,,AKT2,,FAM120A,,ADD1,FEZ2,,RAP2C,,DICER1,BIRC6,,,,DNMBP,,TRIM44,CTDSP1,,,CDC37L1,,RBMS1,HTT,,,,,,,,,BRWD3,,,MAP2K3,,,TSPAN1,ZFP91,,,,,,UGCG,,,IQGAP1,STRN4,,
83,,,,,,,NFYA,,TLE1,,,,SEC22B,TCP1,SPPL2A,,SLC7A6,,,,,MALAT1,,PJA2,,TMEM127,,,,AKAP13,,ARHGEF3,,LYAR,TTR,,BRWD3,,LARP4B,DUSP1,,,,COL5A1,,SNRPB,NCL,,,LCOR,,NOL4L,CIT,,,,,,,,,TTLL4,,,IGFBP3,,,ARPC1B,AK3,,,,,,MTF1,,,UBOX5,FAR1,,
84,,,,,,,IMPACT,,SESN2,,,,BCAR3,DLL1,RRBP1,,TNKS,,,,,SLC3A2,,MCFD2,,CD44,,,,RSF1,,CHDH,,KLF3,DCP2,,CAB39,,RREB1,BTBD9,,,,SLC25A25,,ZNF217,EEA1,,,ZFP91,,MTFR1,DNAJC30,,,,,,,,,ZC3H11A,,,GPATCH8,,,NUP205,TM9SF3,,,,,,STK40,,,OR2V1,CAPN5,,
85,,,,,,,ATG2A,,KLF3,,,,PCDH18,FAM234A,TAF4,,B3GNT3,,,,,CHP1,,NPC1,,CABLES2,,,,RBBP6,,SOCS4,,DCUN1D4,RBM22,,ATG16L1,,EDN1,SIK1,,,,PRPF40A,,ZBP1,MYO1A,,,MYOF,,FRRS1,COL1A2,,,,,,,,,MAP3K5,,,ASAP2,,,GLRX3,COL5A1,,,,,,UBAP2,,,MPV17L2,ARHGEF7,,
86,,,,,,,AHNAK,,VKORC1L1,,,,ZCCHC7,CD2AP,EPS8L3,,IST1,,,,,PCK1,,CDC23,,GON4L,,,,TACC2,,PARP2,,DHX15,CD274,,TFCP2L1,,JARID2,HLA-A,,,,COPS2,,GOLPH3L,SKP1,,,SLC25A28,,RGP1,TAX1BP1,,,,,,,,,CD164,,,SYNE2,,,ARHGAP35,TNKS1BP1,,,,,,ABCA1,,,,SORBS2,,
87,,,,,,,STAMBPL1,,TRRAP,,,,UGCG,NDUFV2,FAM160A1,,CLASP2,,,,,CDC123,,LCOR,,TXNIP,,,,HSPBP1,,MMP14,,RCHY1,DUSP5,,RAB3GAP1,,CDHR2,NFYA,,,,ILF2,,GSTM5,MYO19,,,BBIP1,,HSDL2,ZNRF2,,,,,,,,,IPMK,,,GPHN,,,CAPN5,NUSAP1,,,,,,KLF4,,,,B3GNT3,,
88,,,,,,,TCF7L2,,ARPC1A,,,,SMIM12,RNF125,SH3GLB1,,CBL,,,,,CA1,,LZTS2,,PDCD10,,,,GLTSCR1,,AP3M1,,TNRC18,TCF7L2,,SOAT1,,SLC9A3,FEZ2,,,,OTUD7B,,PLCH1,SPAG9,,,FRMD4A,,LURAP1L,AVL9,,,,,,,,,AIM1,,,RNF44,,,CTTN,STARD7,,,,,,SZRD1,,,,CNOT1,,
89,,,,,,,PPP2R4,,ZNF655,,,,ABCA1,SLC12A2,ZCCHC7,,MT-ND4,,,,,FAM160A1,,GOT1,,SNX27,,,,CD177,,TRIB1,,TES,PCNXL3,,SFT2D2,,ARRDC3,SOS1,,,,CHD7,,MFSD14A,NMT1,,,ST6GALNAC6,,USP1,EDEM1,,,,,,,,,ALDOC,,,METTL7A,,,ADAM10,SEC23B,,,,,,PRKCZ,,,,PLOD2,,
90,,,,,,,LGR4,,RBM47,,,,EPB41L4B,MYO5B,PUM1,,IDS,,,,,LPAR1,,PMPCA,,ATP1A1,,,,RABAC1,,OSMR,,SUCLG1,RAB11FIP2,,TMCC3,,SERINC5,KDM3B,,,,PIK3R3,,CDH17,PFN1,,,TANC1,,AK4,CIC,,,,,,,,,SRSF1,,,FKBP5,,,USP9X,CSNK2A1,,,,,,HTT,,,,CTNNB1,,
91,,,,,,,B2M,,ZNF644,,,,MLLT3,SMAD7,TCEA3,,XIST,,,,,N4BP2,,TBC1D13,,CHD7,,,,CAPNS1,,SKP2,,PON2,RABGAP1,,EIF4ENIF1,,PDE4D,MATR3,,,,RRAGC,,UGCG,ARRDC3,,,MARCH7,,SSBP3,SERTAD3,,,,,,,,,HNRNPAB,,,AMMECR1L,,,PLS3,ASXL1,,,,,,AFF1,,,,ZNF778,,
92,,,,,,,ST8SIA6,,UBN2,,,,ZFYVE9,FEM1C,SMU1,,DCAF8,,,,,TAOK3,,PRRC2B,,TMEM234,,,,CAPN5,,ASAP1,,MTPN,DNAJC10,,LIF,,HMGCS1,EPC1,,,,TMEM54,,NT5C1A,PAIP1,,,PSMD14,,KLHL9,RHPN2,,,,,,,,,PUM2,,,CCNY,,,ZC3H11A,ATP5C1,,,,,,SEC31A,,,,CBL,,
93,,,,,,,GALNT3,,HOTTIP,,,,TSPAN1,SLC26A2,SIGMAR1,,ARFGEF1,,,,,HS3ST1,,FAM129B,,RCC2,,,,ARHGEF7,,CELSR1,,HNRNPA2B1,CDC123,,RNF145,,GPR137B,NPC1,,,,ENO1,,ATP13A2,ARF4,,,CERS6,,ST3GAL3,BCAT2,,,,,,,,,ADAM17,,,NEAT1,,,,EHMT1,,,,,,MLEC,,,,GCNT3,,
94,,,,,,,TSC22D2,,REG3A,,,,SZRD1,AP5B1,MLLT3,,NCSTN,,,,,CDX2,,SPINT1,,HTT,,,,CMIP,,HIRA,,HOXA10,SAMHD1,,MINK1,,LRRC16A,FEM1C,,,,TLE1,,MTHFR,KIF13B,,,TMEM87B,,MFN2,GTF2H1,,,,,,,,,ITPK1,,,PDSS1,,,,GTF3C4,,,,,,MET,,,,,,
95,,,,,,,DDAH1,,ALDH1L1,,,,UBE3C,ATG2A,YBX1,,PDXK,,,,,ZRANB1,,TRPC4AP,,LRCH4,,,,EFNB2,,LRRC58,,PLXND1,PPM1L,,RAB5C,,AUH,NDST1,,,,LYAR,,GBA2,COG3,,,TBC1D20,,SEMA3C,PPP1R37,,,,,,,,,GMDS,,,SEMA6D,,,,ZDHHC12,,,,,,NUP62,,,,,,
96,,,,,,,SETDB1,,PLEKHA5,,,,NIPAL1,PRPF19,RNF4,,HEATR6,,,,,EIF4G2,,PMEPA1,,TRRAP,,,,MTMR7,,BACH1,,UCP2,TXNIP,,WBP2,,SLC35D2,SYVN1,,,,KLF3,,THRAP3,METTL7A,,,NCOA3,,FOSL2,ARRDC4,,,,,,,,,FAM120A,,,TP53INP2,,,,MMADHC,,,,,,SPTY2D1,,,,,,
97,,,,,,,GNAI3,,REG3G,,,,EREG,SLC35G1,ARPC1B,,DLST,,,,,SORBS2,,MGST2,,EIF4H,,,,ABHD8,,HUNK,,TRIM6,SETD7,,RAD51B,,HMGCR,ATL3,,,,ANAPC7,,RCC1,BRD1,,,CDC123,,LMTK2,ARHGEF17,,,,,,,,,KLF5,,,TPD52,,,,COPS2,,,,,,P2RY6,,,,,,
98,,,,,,,LUZP1,,SEMA4B,,,,CCNG2,NEAT1,PRKAB1,,CEP170B,,,,,PHKB,,CRTC2,,CHD4,,,,SLC7A5,,DYRK1A,,TNRC6A,FAM102B,,ZFYVE26,,FCHO2,DDB1,,,,VKORC1L1,,TNFRSF1B,NFYA,,,MASTL,,PAN3,CBFA2T3,,,,,,,,,H1F0,,,EPHA2,,,,GPCPD1,,,,,,H19,,,,,,
99,,,,,,,EPHA2,,TNRC6A,,,,NAA25,TM9SF3,C1GALT1,,ACAP2,,,,,NUCKS1,,MCL1,,EMP1,,,,DDX6,,B3GALT5,,MUC2,TP53INP1,,AREL1,,BDP1,ABHD17B,,,,UBN2,,UBE4B,DCP2,,,TUBB4B,,PISD,SLC35F2,,,,,,,,,FAM83H,,,TXN,,,,ATP11B,,,,,,RASA3,,,,,,
100,,,,,,,FAM214B,,PVR,,,,WDR1,GSN,TES,,NEU1,,,,,KIF21B,,F3,,SEMA4B,,,,RPS27L,,LIPH,,SPTY2D1,ALDH1B1,,TC2N,,MARVELD2,RIC1,,,,PLEKHA5,,RPL6,ATG2A,,,SEC16A,,RFC1,GOLGA4,,,,,,,,,DYRK1A,,,ARMC10,,,,NMD3,,,,,,N4BP1,,,,,,
101,,,,,,,EPB41L4B,,PEX11A,,,,HS3ST1,LGR4,SUCLG1,,HLA-A,,,,,SCYL3,,ATP1A1,,KAT6A,,,,SCAP,,TMPRSS2,,ABHD17C,AK4,,ARID4B,,CHDH,A1CF,,,,VRK3,,G3BP2,VLDLR,,,BAZ2B,,FRYL,ATM,,,,,,,,,KCTD20,,,ERP29,,,,TPM3,,,,,,CNOT1,,,,,,
102,,,,,,,PTBP3,,ITGB1,,,,APBB2,STRBP,ETV6,,ACAT2,,,,,TMEM206,,USP53,,PSKH1,,,,ALS2CL,,PPP2R1A,,DHX32,SSBP3,,TMEM170B,,PBRM1,TNKS2,,,,RRAS2,,CORO1C,KDM2A,,,CREB3L1,,UBA6,PIK3CB,,,,,,,,,BRD2,,,HNRNPF,,,,MCL1,,,,,,SORL1,,,,,,
103,,,,,,,RASEF,,TNKS,,,,FBRSL1,SPPL2A,ZC3HAV1,,AQP4,,,,,MRPL15,,DHCR24,,ANKRD37,,,,CTDSPL,,HMGA1,,ZFHX3,ESRP1,,SLC12A7,,ERCC6,VTI1A,,,,NKD1,,ERP29,EIF3A,,,CRY2,,ANKRD17,SLC35A2,,,,,,,,,NR3C1,,,FCGBP,,,,DDAH1,,,,,,GCNT3,,,,,,
104,,,,,,,DOCK7,,TMEM170A,,,,MLEC,RRBP1,YBX3,,CNDP2,,,,,MGAT4A,,KTI12,,AAGAB,,,,TRAK1,,KCTD20,,ITGB1,GNE,,IL6ST,,WAPL,TM7SF2,,,,DDX6,,GFPT1,PPP2R4,,,FERMT1,,HNRNPD,DDX3X,,,,,,,,,FEM1C,,,AMPD3,,,,MECOM,,,,,,NBEAL2,,,,,,
105,,,,,,,LRRC42,,SESN3,,,,EIF4H,SERINC3,CEBPA,,ST6GALNAC6,,,,,IDH1,,EPB41L4B,,DUSP7,,,,CBL,,ABCG1,,EFNB2,NFIB,,SDHA,,SOCS4,COMMD3,,,,RBM6,,CDKN1B,DHRS9,,,ZNFX1,,HNRNPDL,LAMP2,,,,,,,,,AHNAK,,,TNRC6A,,,,ELF2,,,,,,FHL1,,,,,,
106,,,,,,,SH3BGRL3,,ICK,,,,C1GALT1,POSTN,CTR9,,DHRS9,,,,,METTL13,,ZCCHC17,,PFKFB4,,,,PTS,,DDX39B,,RASA3,JUN,,FCHO2,,RNF31,CELF1,,,,DDX3X,,MAGI1,B2M,,,TAF4,,CAPZA2,GLA,,,,,,,,,VPS13A,,,CAPN5,,,,AHCYL1,,,,,,DSTYK,,,,,,
107,,,,,,,TNFRSF1B,,SENP6,,,,GPRC5A,RHOC,SLC7A6,,HACD1,,,,,PRRC2C,,ISG15,,CDC25A,,,,ZC3H12C,,PLEKHH2,,GLG1,CCNG2,,PTPRG,,KHNYN,ARHGAP1,,,,LAMP2,,RET,TP53INP2,,,ARL14,,ATOH1,UTY,,,,,,,,,OSTF1,,,SPCS2,,,,SGMS2,,,,,,IFNGR1,,,,,,
108,,,,,,,LRRC8D,,SETD2,,,,SLC35B4,FRRS1,TANGO6,,SULF2,,,,,PERP,,NRBP1,,C2CD2L,,,,GCNT3,,IGF2R,,LDLR,SFSWAP,,KIF13B,,KIF13B,XRN2,,,,ACSL4,,DUSP16,GALNT3,,,TXNIP,,CHD4,DST,,,,,,,,,RANBP6,,,CDK16,,,,BACH2,,,,,,MED1,,,,,,
109,,,,,,,DNAJC30,,FUT4,,,,CNOT4,STX17,MTMR7,,MYSM1,,,,,IFNGR1,,ADD1,,LAMP2,,,,TCF12,,SIK1,,SEMA7A,WDR1,,PRKCD,,ELF1,PLCG1,,,,BSG,,SUV420H2,TSC22D2,,,RHOC,,DYRK1B,PIKFYVE,,,,,,,,,KIAA1217,,,,,,,SLC25A51,,,,,,ADAM17,,,,,,
110,,,,,,,PDS5B,,TMPRSS4,,,,SFXN5,AK4,CLCN3,,SERINC2,,,,,SCML4,,CDS1,,PTPN14,,,,TSPAN7,,XDH,,GOLGA4,RFC1,,ERO1L,,MBNL2,STRBP,,,,ANKRD52,,PAF1,TPD52,,,F3,,ZDHHC13,PLEKHA6,,,,,,,,,PPP2R4,,,,,,,NFIB,,,,,,KLF6,,,,,,
111,,,,,,,SDAD1,,PHIP,,,,LRIG1,SSBP3,GATAD2A,,FOSL2,,,,,PDSS2,,ARPC3,,OSBPL8,,,,FUNDC1,,HEATR5B,,CBL,CHMP3,,PTK2B,,FARP1,ZEB2,,,,SMG6,,NAV2,SETDB1,,,BCAR3,,WEE1,MARS,,,,,,,,,HNRNPA3,,,,,,,ZDHHC21,,,,,,SERINC5,,,,,,
112,,,,,,,WBSCR22,,RBM6,,,,ERC1,BSDC1,SEMA7A,,CAPZA2,,,,,HACE1,,MLXIP,,EIF4EBP2,,,,LAMP2,,AQP4,,UBE4A,BHLHE40,,CPQ,,USP54,QSER1,,,,RNF43,,AMPD3,RSRP1,,,PCDH18,,ANKS4B,PUS10,,,,,,,,,HNF4A,,,,,,,NASP,,,,,,H2AFY,,,,,,
113,,,,,,,KLHDC10,,CHIC1,,,,NUP62,USP48,ICK,,WNK1,,,,,EEA1,,GIGYF1,,TNS3,,,,PRKX,,ATP8B1,,ALAS1,EPN1,,TMBIM6,,AP3M1,ZNF106,,,,POLQ,,TACC2,FAM214B,,,MAML3,,UQCRC2,G3BP1,,,,,,,,,EHMT1,,,,,,,THRAP3,,,,,,KCNMA1,,,,,,
114,,,,,,,SLC35B4,,G6PD,,,,PICALM,SRM,HMBS,,OTUD4,,,,,NAP1L1,,ARPC1B,,HSPA4,,,,RDH10,,PPP1CA,,ATP7A,FCGBP,,ACVR1B,,METTL6,CPNE1,,,,DDX39B,,CD81,PTBP3,,,NHLRC3,,TNRC6A,MYBBP1A,,,,,,,,,SURF4,,,,,,,CCDC28B,,,,,,ACO2,,,,,,
115,,,,,,,TPI1,,ATRX,,,,TNRC6A,TLN1,NBEAL2,,SMARCA4,,,,,UTRN,,CLOCK,,MAP2K4,,,,EIF2D,,SYVN1,,TBC1D8B,ZFP36,,TRIO,,EXOC5,SPATA2,,,,TMEM127,,SIPA1L3,DOCK7,,,SNX27,,AQP8,ZZEF1,,,,,,,,,PPP6C,,,,,,,PDIK1L,,,,,,TMEM186,,,,,,
116,,,,,,,NOVA2,,BZW1,,,,ARHGAP35,ARHGEF16,LAMP2,,SEMA7A,,,,,REEP3,,HNRNPDL,,CLTC,,,,NUCKS1,,DDB1,,ABCB7,ERN2,,TFRC,,NUPL1,ZNF217,,,,HELZ2,,LRRK1,AGO1,,,MAGI3,,KAT6A,TRIM25,,,,,,,,,GPCPD1,,,,,,,SEPT11,,,,,,BAK1,,,,,,
117,,,,,,,ANKRD27,,CAPN10,,,,MYH14,ABCB1,TXLNG,,ST14,,,,,CDK1,,ZYX,,PLEKHM1,,,,VCPIP1,,CCNJ,,RDH10,CCND1,,DCBLD2,,MYCBP2,ATP11B,,,,MBNL1,,ATXN2L,SH3BGRL3,,,STRIP1,,ZDHHC2,COL1A1,,,,,,,,,SAMHD1,,,,,,,CYTH3,,,,,,MALAT1,,,,,,
118,,,,,,,AMPD3,,PIGR,,,,SPTY2D1,SEMA3C,,,DDX26B,,,,,TMTC2,,FAM136A,,CANT1,,,,UGGT1,,VTI1A,,CASP8,ARHGEF18,,BRWD1,,SQLE,NAA15,,,,MCL1,,SCT,MOB1B,,,TP53INP1,,PSKH1,MDH1,,,,,,,,,MECOM,,,,,,,FRYL,,,,,,BLCAP,,,,,,
119,,,,,,,TNRC6A,,KIFAP3,,,,TMEM135,LMTK2,,,LRP1B,,,,,ERBB3,,CREBL2,,KLF6,,,,TRAK2,,RAB1B,,AGFG1,AGPAT5,,SMOC2,,TRIB1,TSC22D2,,,,UGCG,,CTCF,PARM1,,,UBE2J1,,RAB11FIP1,RASD1,,,,,,,,,CCNL1,,,,,,,CLOCK,,,,,,ZNFX1,,,,,,
120,,,,,,,SPTY2D1,,IHH,,,,OTUD4,PAN3,,,,,,,,AP1B1,,UBFD1,,SFXN1,,,,MAPKAPK2,,PCNXL3,,CAB39,SEPT7,,UNC5CL,,APOBEC3B,GBP7,,,,PLPP3,,AP1G1,LRRC8D,,,ZCCHC7,,JUNB,AKAP10,,,,,,,,,NFIB,,,,,,,CXCL9,,,,,,CYB561D1,,,,,,
121,,,,,,,SH2D4A,,TRIP12,,,,CDH1,PISD,,,,,,,,YWHAE,,CCDC9,,CTSL,,,,ZC3H11A,,NEAT1,,MGAT4A,MSANTD2,,IGF2R,,TRABD,PHC3,,,,ASPH,,MAU2,DNAJC30,,,STX17,,FUK,DYNC1H1,,,,,,,,,THRAP3,,,,,,,GIT2,,,,,,CCNG2,,,,,,
